                                                  G         K Composite
data/spec-1353-53083-0579.fits            0.9900078 0.8326456 0.9900078
data/8oclockArc_spec-6184-56267-0854.fits 0.9791997 0.9197616 0.9791997
data/spec-5301-55987-0190.fits            0.9617422 0.8881247 0.9617422
data/spec-2124-53770-0113.fits            0.9157252 0.8500688 0.9157252
data/spec-5972-56334-0558.fits            0.9039283 0.8839982 0.9039283
data/spec-7257-56658-0239.fits            0.8372455 0.8876662 0.8372455
data/spec-5454-56015-0641.fits            0.8301293 0.8386061 0.8301293
data/spec-7089-56661-0076.fits            0.9596024 0.7579092 0.8216088
data/spec-4242-55476-0780.fits            0.8209537 0.8789546 0.8209537
data/spec-5302-55896-0613.fits            0.8203265 0.8982118 0.8203265
data/spec-5793-56337-0530.fits            0.8183814 0.8569464 0.8183814
data/spec-5324-55947-0886.fits            0.9445905 0.7620358 0.8159853
data/spec-7424-57160-0977.fits            0.8029423 0.8459422 0.8029423
data/spec-1719-53876-0095.fits            0.8285712 0.8106373 0.7925756
data/spec-2634-54110-0244.fits            0.7896074 0.8404402 0.7896074
data/spec-1437-53046-0166.fits            0.7888712 0.9202201 0.7888712
data/spec-6008-56093-0606.fits            0.7881537 0.8950023 0.7881537
data/spec-5331-55976-0504.fits            0.8141554 0.8143054 0.7846386
data/spec-3808-55513-0602.fits            0.9549607 0.7363595 0.7799939
data/spec-0991-52707-0359.fits            0.7721959 0.8321871 0.7715583
data/spec-6439-56358-0432.fits            0.9686624 0.7203118 0.7633371
data/spec-4611-55603-0878.fits            0.8638648 0.7725814 0.7632807
data/spec-1311-52765-0413.fits            0.9106016 0.7464466 0.7604576
data/spec-4391-55866-0036.fits            0.7549288 0.8642824 0.7549288
data/spec-5047-55833-0214.fits            0.7811014 0.8124713 0.7499728
data/spec-1081-52531-0173.fits            0.7325042 0.8995873 0.7325042
data/spec-2382-54169-0116.fits            0.8312926 0.7652453 0.7230810
data/spec-2356-53786-0499.fits            0.8582220 0.7491976 0.7210363
data/spec-2188-54595-0112.fits            0.7608782 0.8046768 0.7189790
data/spec-6406-56330-0456.fits            0.8482562 0.7501146 0.7140901
data/spec-2261-53612-0404.fits            0.8939604 0.7239798 0.7103034
data/spec-5015-55707-0294.fits            0.9068762 0.7175608 0.7102251
data/spec-5328-55982-0218.fits            0.9704317 0.6868409 0.7081507
data/spec-1301-52976-0123.fits            0.8614805 0.7386520 0.7072154
data/spec-2161-53878-0604.fits            0.7032933 0.9064649 0.7032933
data/spec-1923-53319-0383.fits            0.8402935 0.7441541 0.6982257
data/spec-1626-53472-0286.fits            0.8214594 0.7450711 0.6839499
data/spec-1382-53115-0469.fits            0.7312747 0.7977992 0.6812624
data/spec-2913-54526-0229.fits            0.8468702 0.7290234 0.6805236
data/spec-1757-53083-0437.fits            0.8368949 0.7340669 0.6800965
data/spec-0390-51900-0010.fits            0.8218816 0.7404860 0.6774417
data/spec-7301-56746-0454.fits            0.8356481 0.7276479 0.6694466
data/spec-2620-54339-0453.fits            0.8801854 0.6983035 0.6596485
