                             A         K  Composite names
spec-1353           0.97944951 0.8326456 0.97944951  <NA>
8oclockArc          0.91564433 0.9197616 0.91564433  <NA>
spec-5328           0.89161460 0.6868409 0.65063570  <NA>
spec-5324           0.62492337 0.7620358 0.53984058  <NA>
spec-5301           0.43110906 0.8881247 0.43110906  <NA>
spec-6439           0.52719832 0.7203118 0.41544926  <NA>
spec-5972           0.36660261 0.8839982 0.36660261  <NA>
spec-3808           0.39262068 0.7363595 0.32068518  <NA>
spec-7089           0.37026101 0.7579092 0.31701642  <NA>
spec-7255           0.43067417 0.6542870 0.29077809  <NA>
spec-7235           0.42729097 0.6533700 0.28785030  <NA>
spec-1311           0.32586914 0.7464466 0.27213840  <NA>
spec-5015           0.30516618 0.7175608 0.23899258  <NA>
spec-4611           0.25767085 0.7725814 0.22766894  <NA>
spec-2124           0.21786468 0.8500688 0.21786468  <NA>
spec-5302           0.21547960 0.8982118 0.21547960  <NA>
spec-2261           0.27077002 0.7239798 0.21514249  <NA>
spec-1301           0.24977159 0.7386520 0.20504504  <NA>
spec-2634           0.18542630 0.8404402 0.18542630  <NA>
spec-1719           0.17790627 0.8106373 0.17017749  <NA>
spec-7257           0.16670879 0.8876662 0.16670879  <NA>
spec-2913           0.20557211 0.7290234 0.16519259  <NA>
spec-2620           0.21628086 0.6983035 0.16209009  <NA>
spec-6064           0.23708398 0.6533700 0.15971480  <NA>
spec-1232           0.21445274 0.6808803 0.15431580  <NA>
spec-0509           0.23202221 0.6464924 0.15369636  <NA>
spec-1959           0.23693535 0.6350298 0.15256115  <NA>
spec-7424           0.15146588 0.8459422 0.15146588  <NA>
spec-6620           0.20184623 0.6895919 0.14824297  <NA>
spec-5454           0.14144231 0.8386061 0.14144231  <NA>
spec-2557           0.17591436 0.7230628 0.13948672  <NA>
spec-1923           0.16153284 0.7441541 0.13422262  <NA>
spec-0991           0.12163605 0.8321871 0.12153562  <NA>
spec-1757           0.14513896 0.7340669 0.11794611  <NA>
spec-2382           0.13428420 0.7652453 0.11680405  <NA>
spec-6447           0.14657958 0.7148097 0.11408200  <NA>
spec-1229           0.18372882 0.6139386 0.11216460  <NA>
spec-1081           0.11007502 0.8995873 0.11007502  <NA>
spec-1685           0.19381940 0.5795507 0.10813869  <NA>
spec-1437           0.10450680 0.9202201 0.10450680  <NA>
spec-6161           0.17595110 0.5955983 0.10243283  <NA>
spec-5793           0.09794636 0.8569464 0.09794636  <NA>
spec-1105           0.12736379 0.7056396 0.09707645  <NA>
spec-1626           0.11493322 0.7450711 0.09569380  <NA>
spec-1026           0.12471007 0.7070151 0.09535355  <NA>
spec-1568           0.15818129 0.6088950 0.09532541  <NA>
spec-2422           0.15813280 0.6075195 0.09495878  <NA>
spec-2188           0.09958570 0.8046768 0.09410184  <NA>
spec-0632           0.13807127 0.6474094 0.09166751  <NA>
spec-0995           0.13662984 0.6492435 0.09111934  <NA>
spec-1728           0.11155137 0.7070151 0.08529238  <NA>
spec-5451           0.15561726 0.5726731 0.08523285  <NA>
spec-2359           0.11408381 0.6882164 0.08351841  <NA>
spec-2118           0.10134057 0.7317744 0.08193533  <NA>
spec-5336           0.12351858 0.6469509 0.08191350  <NA>
spec-0314           0.13666763 0.6043099 0.08139053  <NA>
spec-1382           0.08622284 0.7977992 0.08032601  <NA>
spec-6465           0.14128379 0.5735901 0.07757417  <NA>
spec-4242           0.07626030 0.8789546 0.07626030  <NA>
spec-1997           0.10639394 0.6735442 0.07524043  <NA>
spec-1672           0.13325592 0.5823017 0.07489684  <NA>
spec-6656           0.09837754 0.6941770 0.07302712  <NA>
spec-2356           0.08281106 0.7491976 0.06957381  <NA>
spec-5331           0.06883055 0.8143054 0.06633513  <NA>
spec-1788           0.08478637 0.7138927 0.06585161  <NA>
spec-3755           0.11954651 0.5735901 0.06563896  <NA>
spec-6008           0.06446964 0.8950023 0.06446964  <NA>
spec-6125           0.10361391 0.6185236 0.06399982  <NA>
spec-4347           0.10754889 0.5891793 0.06156230  <NA>
spec-6803           0.08795740 0.6593306 0.06011742  <NA>
spec-4058           0.08776246 0.6602476 0.06011733  <NA>
spec-6406           0.07103383 0.7501146 0.05979863  <NA>
spec-1054           0.07360618 0.7230628 0.05836411  <NA>
spec-7395           0.08222888 0.6744613 0.05827810  <NA>
spec-2161           0.05612530 0.9064649 0.05612530  <NA>
spec-4391           0.05580957 0.8642824 0.05580957  <NA>
spec-7301           0.06600725 0.7276479 0.05287912  <NA>
spec-6461           0.07783842 0.6501605 0.05202760  <NA>
spec-2179           0.09389630 0.5767996 0.05200288  <NA>
spec-5027           0.08506733 0.6102705 0.05144629  <NA>
spec-4801           0.09258685 0.5726731 0.05071058  <NA>
spec-6053           0.07999469 0.6258597 0.05033754  <NA>
spec-0935           0.08711054 0.5763411 0.04818527  <NA>
spec-6754           0.08755491 0.5740486 0.04813296  <NA>
spec-6049           0.06185348 0.7138927 0.04804017  <NA>
spec-1397           0.07770950 0.6134801 0.04738521  <NA>
spec-6145           0.06610705 0.6781293 0.04726124  <NA>
spec-4176           0.09238926 0.5300321 0.04493920  <NA>
spec-5111           0.06665123 0.6391564 0.04335883  <NA>
spec-4494           0.06824842 0.6217331 0.04250042  <NA>
spec-5397           0.05739589 0.6813388 0.04134557  <NA>
spec-7258           0.05950004 0.6593306 0.04066729  <NA>
spec-4464           0.06655884 0.6084365 0.04006325  <NA>
spec-0390           0.04806265 0.7404860 0.03961598  <NA>
spec-5047           0.04115765 0.8124713 0.03951743  <NA>
spec-4870           0.05743567 0.6249427 0.03605851  <NA>
spec-0924           0.05607846 0.6309033 0.03573814  <NA>
shapley_lyman_break 0.05386616 0.6460339 0.03564188  <NA>
spec-6512           0.05749253 0.5997249 0.03383324  <NA>
spec-6466           0.04830626 0.6194406 0.02990728  <NA>
spec-4039           0.05161449 0.5685465 0.02795530  <NA>
spec-0750           0.02644282 0.6703347 0.01855756  <NA>
