                     Area.peak KS.raw KS.trans Combined              types
spec-1353               0.9794 0.1674    1.000   0.9794 Lyman-break galaxy
8oclockArc_spec-6184    0.9156 0.0802    1.000   0.9156 Lyman-break galaxy
spec-5328               0.8916 0.3132    0.770   0.6861             Quasar
spec-5324               0.6249 0.2380    0.888   0.5552             Quasar
spec-6439               0.5272 0.2797    0.822   0.4336              Other
spec-5301               0.4311 0.1119    1.000   0.4311              Other
spec-5972               0.3666 0.1160    1.000   0.3666              Other
spec-3808               0.3926 0.2636    0.848   0.3329              Other
spec-7089               0.3703 0.2421    0.882   0.3265              Other
spec-7255               0.4307 0.3457    0.718   0.3093              Other
spec-7235               0.4273 0.3466    0.717   0.3062              Other
spec-1311               0.3259 0.2536    0.864   0.2815              Other
spec-5015               0.3052 0.2824    0.818   0.2497              Other
spec-4611               0.2577 0.2274    0.905   0.2332              Other
spec-2261               0.2708 0.2760    0.828   0.2243              Other
spec-2124               0.2179 0.1499    1.000   0.2179              Other
spec-5302               0.2155 0.1018    1.000   0.2155             Quasar
spec-1301               0.2498 0.2613    0.851   0.2127              Other
spec-2634               0.1854 0.1596    1.000   0.1854              Other
spec-2913               0.2056 0.2710    0.836   0.1719              Other
spec-1719               0.1779 0.1894    0.965   0.1717              Other
spec-2620               0.2163 0.3017    0.788   0.1704              Other
spec-6064               0.2371 0.3466    0.717   0.1699        Carbon star
spec-7257               0.1667 0.1123    1.000   0.1667              Other
spec-0509               0.2320 0.3535    0.706   0.1638              Other
spec-1232               0.2145 0.3191    0.760   0.1630              Other
spec-1959               0.2369 0.3650    0.688   0.1629              Other
spec-6620               0.2018 0.3104    0.774   0.1562              Other
spec-7424               0.1515 0.1541    1.000   0.1515              Other
spec-2557               0.1759 0.2769    0.827   0.1454              Other
spec-5454               0.1414 0.1614    1.000   0.1414              Other
spec-1923               0.1615 0.2558    0.860   0.1389              Other
spec-1757               0.1451 0.2659    0.844   0.1225              Other
spec-0991               0.1216 0.1678    0.999   0.1215              Other
spec-1229               0.1837 0.3861    0.654   0.1202              Other
spec-2382               0.1343 0.2348    0.893   0.1200              Other
spec-6447               0.1466 0.2852    0.814   0.1193              Other
spec-1685               0.1938 0.4204    0.600   0.1163              Other
spec-1081               0.1101 0.1004    1.000   0.1101              Other
spec-6161               0.1760 0.4044    0.625   0.1100              Other
spec-1437               0.1045 0.0798    1.000   0.1045              Other
spec-1568               0.1582 0.3911    0.646   0.1022              Other
spec-2422               0.1581 0.3925    0.644   0.1019              Other
spec-1105               0.1274 0.2944    0.799   0.1018              Other
spec-1026               0.1247 0.2930    0.801   0.0999              Other
spec-1626               0.1149 0.2549    0.862   0.0990              Other
spec-5793               0.0979 0.1431    1.000   0.0979              Other
spec-0632               0.1381 0.3526    0.707   0.0976              Other
spec-0995               0.1366 0.3508    0.710   0.0970              Other
spec-2188               0.0996 0.1953    0.956   0.0952              Other
spec-5451               0.1556 0.4273    0.589   0.0917              Other
spec-1728               0.1116 0.2930    0.801   0.0894              Other
spec-2359               0.1141 0.3118    0.772   0.0880              Other
spec-0314               0.1367 0.3957    0.639   0.0873              Other
spec-5336               0.1235 0.3530    0.706   0.0873              Other
spec-2118               0.1013 0.2682    0.841   0.0852              Other
spec-6465               0.1413 0.4264    0.591   0.0834              Other
spec-1382               0.0862 0.2022    0.945   0.0815              Other
spec-1672               0.1333 0.4177    0.604   0.0805              Other
spec-1997               0.1064 0.3265    0.749   0.0796              Other
spec-6656               0.0984 0.3058    0.781   0.0768              Other
spec-4242               0.0763 0.1210    1.000   0.0763              Other
spec-2356               0.0828 0.2508    0.868   0.0719              Other
spec-3755               0.1195 0.4264    0.591   0.0706              Other
spec-1788               0.0848 0.2861    0.812   0.0689              Other
spec-6125               0.1036 0.3815    0.662   0.0685              Other
spec-5331               0.0688 0.1857    0.971   0.0668              Other
spec-4347               0.1075 0.4108    0.615   0.0662              Other
spec-6008               0.0645 0.1050    1.000   0.0645              Other
spec-6803               0.0880 0.3407    0.726   0.0639              Other
spec-4058               0.0878 0.3398    0.727   0.0638              Other
spec-6406               0.0710 0.2499    0.870   0.0618              Other
spec-7395               0.0822 0.3255    0.750   0.0617              Other
spec-1054               0.0736 0.2769    0.827   0.0609              Other
spec-2161               0.0561 0.0935    1.000   0.0561              Other
spec-2179               0.0939 0.4232    0.596   0.0559              Other
spec-4391               0.0558 0.1357    1.000   0.0558              Other
spec-6461               0.0778 0.3498    0.712   0.0554              Other
spec-5027               0.0851 0.3897    0.648   0.0552              Other
spec-7301               0.0660 0.2724    0.834   0.0551              Other
spec-4801               0.0926 0.4273    0.589   0.0545              Other
spec-6053               0.0800 0.3741    0.673   0.0538              Other
spec-0935               0.0871 0.4237    0.595   0.0518              Other
spec-6754               0.0876 0.4260    0.591   0.0518              Other
spec-1397               0.0777 0.3865    0.654   0.0508              Other
spec-6049               0.0619 0.2861    0.812   0.0502              Other
spec-6145               0.0661 0.3219    0.756   0.0500              Other
spec-4176               0.0924 0.4700    0.522   0.0482              Other
spec-5111               0.0667 0.3608    0.694   0.0463              Other
spec-4494               0.0682 0.3783    0.667   0.0455              Other
spec-5397               0.0574 0.3187    0.761   0.0437              Other
spec-7258               0.0595 0.3407    0.726   0.0432              Other
spec-4464               0.0666 0.3916    0.646   0.0430              Other
spec-0390               0.0481 0.2595    0.854   0.0411              Other
