                          Area.peak KS.trans Combined
spec-4773-55648-0532.fits  0.998172 1.000000 0.998172
spec-6495-56339-0338.fits  0.996457 1.000000 0.996457
spec-6746-56386-0120.fits  0.996200 1.000000 0.996200
spec-6967-56447-0063.fits  0.993031 1.000000 0.993031
spec-4200-55499-0316.fits  0.990401 1.000000 0.990401
spec-6689-56396-0037.fits  0.990345 1.000000 0.990345
spec-3679-55209-0232.fits  0.989884 1.000000 0.989884
spec-5805-56336-0756.fits  0.988500 1.000000 0.988500
spec-4226-55475-0663.fits  0.987187 1.000000 0.987187
spec-5447-55958-0904.fits  0.989068 0.997088 0.986188
spec-4269-55502-0496.fits  0.985503 1.000000 0.985503
spec-3793-55214-0542.fits  0.985287 1.000000 0.985287
spec-6313-56460-0402.fits  0.984727 1.000000 0.984727
spec-4742-55660-0608.fits  0.983820 1.000000 0.983820
spec-5973-56067-0166.fits  0.983570 1.000000 0.983570
spec-3857-55272-0582.fits  0.983423 1.000000 0.983423
spec-6452-56366-0270.fits  0.983413 1.000000 0.983413
spec-4444-55538-0900.fits  0.982769 1.000000 0.982769
spec-3639-55205-0023.fits  0.982681 1.000000 0.982681
spec-6032-56067-0742.fits  0.982455 1.000000 0.982455
spec-4272-55509-0770.fits  0.981620 1.000000 0.981620
spec-4977-56047-0468.fits  0.995220 0.986170 0.981456
spec-5995-56093-0563.fits  0.981149 1.000000 0.981149
spec-4238-55455-0010.fits  0.978159 1.000000 0.978159
spec-5411-55953-0760.fits  0.975859 1.000000 0.975859
spec-6720-56390-0594.fits  0.974585 1.000000 0.974585
spec-4377-55828-0873.fits  0.973671 1.000000 0.973671
spec-6713-56402-0294.fits  0.973304 1.000000 0.973304
spec-5001-55719-0400.fits  0.972580 1.000000 0.972580
spec-6113-56219-0624.fits  0.971594 1.000000 0.971594
spec-3771-55544-0718.fits  0.971581 1.000000 0.971581
spec-5113-55924-0474.fits  0.971277 1.000000 0.971277
spec-4783-55652-0180.fits  0.969833 1.000000 0.969833
spec-6702-56381-0194.fits  0.987601 0.981802 0.969629
spec-4855-55926-0123.fits  0.969138 1.000000 0.969138
spec-7297-57040-0048.fits  0.969034 1.000000 0.969034
spec-6973-56741-0898.fits  0.972849 0.993449 0.966475
spec-7319-56962-0099.fits  0.964608 1.000000 0.964608
spec-5791-56255-0883.fits  0.989086 0.973067 0.962448
spec-4856-55712-0528.fits  0.962381 1.000000 0.962381
spec-6184-56267-0854.fits  0.960428 1.000000 0.960428
spec-6137-56270-0238.fits  0.959923 1.000000 0.959923
spec-5731-56363-0960.fits  0.959897 1.000000 0.959897
spec-4375-55889-0334.fits  0.958946 1.000000 0.958946
spec-5014-55717-0021.fits  0.958364 1.000000 0.958364
spec-4864-55680-0360.fits  0.957592 1.000000 0.957592
spec-7562-56799-0279.fits  0.956092 1.000000 0.956092
spec-3687-55269-0080.fits  0.995751 0.959965 0.955886
spec-3794-55241-0738.fits  0.954679 1.000000 0.954679
spec-4750-55630-0885.fits  0.954575 1.000000 0.954575
spec-5285-55946-0974.fits  0.954140 1.000000 0.954140
spec-3804-55267-0434.fits  0.953547 1.000000 0.953547
spec-5289-55893-0607.fits  0.953099 1.000000 0.953099
spec-3935-55326-0192.fits  0.952959 1.000000 0.952959
spec-7053-56564-0460.fits  0.952637 1.000000 0.952637
spec-5947-56093-0300.fits  0.951393 1.000000 0.951393
spec-4559-55597-0844.fits  0.951155 1.000000 0.951155
spec-5367-55986-0670.fits  0.950994 1.000000 0.950994
spec-6687-56602-0376.fits  0.979819 0.969428 0.949864
spec-3941-55321-0038.fits  0.949348 1.000000 0.949348
spec-5694-56213-0320.fits  0.948498 1.000000 0.948498
spec-4200-55499-0404.fits  0.947196 1.000000 0.947196
spec-7282-56660-0528.fits  0.956149 0.990537 0.947101
spec-7088-56657-0888.fits  0.946401 1.000000 0.946401
spec-5716-56684-0022.fits  0.963044 0.982530 0.946220
spec-6838-56429-0064.fits  0.946019 1.000000 0.946019
spec-3757-55508-0946.fits  0.944456 1.000000 0.944456
spec-3923-55325-0988.fits  0.943903 1.000000 0.943903
spec-4992-55723-0012.fits  0.940137 1.000000 0.940137
spec-7299-56686-0677.fits  0.956953 0.981802 0.939539
spec-4862-55685-0148.fits  0.939408 1.000000 0.939408
spec-4757-55653-0242.fits  0.970759 0.967244 0.938960
spec-6667-56412-0044.fits  0.969758 0.967972 0.938699
spec-7407-56772-0592.fits  0.987074 0.950502 0.938217
spec-4023-55328-0888.fits  0.937396 1.000000 0.937396
spec-7116-56681-0528.fits  0.936763 1.000000 0.936763
spec-3821-55535-0150.fits  0.936445 1.000000 0.936445
spec-3957-55664-0192.fits  0.936422 1.000000 0.936422
spec-3639-55205-0686.fits  0.936313 1.000000 0.936313
spec-7324-56935-1000.fits  0.981892 0.953414 0.936149
spec-4549-55556-0894.fits  0.935765 1.000000 0.935765
spec-5904-56046-0156.fits  0.935765 1.000000 0.935765
spec-6392-56331-0610.fits  0.974100 0.959237 0.934393
spec-5855-56088-0694.fits  0.932233 1.000000 0.932233
